photo1,street_wid1,mov_cars1,park_cars1,mov_ciclyst1,landscape1,build_ident1,trees1,build_height1,diff_build1,people1,graffiti1,bairro1
https://contribua.org/bairros/norte/centro/Rua_Pedro_Alvares_Cabral__129_180.jpg,33,2,6,2,2.06422018348624,2,0,18,11,6,No,centro
https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__511_270.jpg,35,0,1,0,4,1,5,10,4,0,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__90.jpg,40,0,3,0,5,0,3,15,6,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__147_270.jpg,34,5,3,0,4.125,2,3,15,5,2,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__0.jpg,31,1,1,0,3.625,0,6,10,5,0,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_0.jpg,43,0,3,0,4,0,6,10,2,0,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Deputado_Ascendino_Moura__101__90.jpg,34,0,1,0,2,0,2,12,6,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__511_90.jpg,26,0,0,0,3.68248175182482,1,3,11.8333333333333,4,0,Yes,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_180.jpg,32,0,0,0,3.25,0,2,19.2,8,0,Yes,catole
https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha__235_0.jpg,46,3,8,0,3.5,23,3,10,7,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__388__270.jpg,40,3,2,0,2.5,1,1,10,8,2,No,liberdade
https://contribua.org/bairros/norte/centro/Rua_Joao_da_Mata__490_90.jpg,44,4,6,0,4,0,3,16.2391304347826,5,8,No,centro
https://contribua.org/bairros/oeste/liberdade/Rua_Santa_Catarina__1231__0.jpg,30,0,1,0,2.5,0,4,8.66666666666667,4,0,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg,44,5,2,2,4,0,2,10,5,3,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_90.jpg,34,0,0,0,2,0,1,56.25,5,2,No,catole
https://contribua.org/bairros/norte/centro/Rua_Pedro_Alvares_Cabral__129_90.jpg,30,1,1,1,2,2,0,18.5,6,12,No,centro
https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__270.jpg,36,1,1,0,4,1,6,12.5,4,0,No,catole
https://contribua.org/bairros/norte/centro/Rua_Quebra_Quilos__399__270.jpg,48,3,3,0,4,0,6,20,6,0,No,centro
https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__439__180.jpg,38,0,1,0,3.83333333333333,0,4,10,3,0,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg,26,0,2,0,2.5,1,7,10,5,0,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_90.jpg,38,1,0,0,3.33333333333333,0,2,15,3,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__388__90.jpg,40,5,2,2,3,3,0,15.5,9,3,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__147_90.jpg,39,2,1,2,3,3,2,15.5,9,3,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha__68__270.jpg,30,0,2,0,1,1,1,15,2,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Acre__635_90.jpg,37,1,0,0,3.5,6,7,10,6,0,No,liberdade
https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__150_270.jpg,40,2,14,0,2.43577981651376,2,0,22.25,9,4,No,centro
https://contribua.org/bairros/oeste/liberdade/Rua_Espirito_Santo__1288__180.jpg,28,0,0,0,2.66666666666667,0,0,10.8333333333333,5,0,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Sergipe__1337_90.jpg,26,1,4,0,1.35217391304348,0,0,10,4,1,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Santa_Catarina__1231__180.jpg,27,0,0,0,3.5,0,5,10,5,1,No,liberdade
https://contribua.org/bairros/norte/centro/Rua_Felix_Araujo__132__90.jpg,28,1,9,0,2.57142857142857,4,0,12,7,4,Yes,centro
https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_0.jpg,34,1,1,0,4.2,0,3,10,4,1,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg,31,0,2,0,3.375,0,0,20,7,6,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__306_90.jpg,40,5,2,0,3.46581196581197,2,4,27.75,7,1,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__321__0.jpg,38,1,3,2,3.875,0,1,20,5,2,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg,32,1,1,0,3,0,7,15,4,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__321__180.jpg,32,0,1,0,4,0,7,10,5,0,No,liberdade
https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__370_180.jpg,25,0,3,2,1.45149253731343,1,0,16.1904761904762,8,5,No,centro
https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__439__0.jpg,31,1,0,0,3.5,1,5,10,4,2,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__455__0.jpg,27,0,0,0,3,0,3,8.33333333333333,6,0,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__847__0.jpg,40,0,4,0,4.25,0,5,10.5,4,0,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Sergipe__1337_0.jpg,35,0,2,0,2.5,1,3,12,3,0,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__930__0.jpg,36,0,2,0,4,0,4,10,5,1,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__847__180.jpg,38,0,2,0,3.5,0,5,10.375,4,0,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Vigario_Calixto__1201_0.jpg,45,1,1,3,3.1,1,1,9.5,4,3,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Odon_Bezerra__306_270.jpg,36,4,1,0,3.875,2,1,16.75,6,1,No,liberdade
https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__270.jpg,40,3,4,0,3.83333333333333,5,6,62.25,7,4,No,centro
https://contribua.org/bairros/oeste/catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_90.jpg,57,1,4,0,3,2,6,15,3,1,No,catole
https://contribua.org/bairros/norte/centro/Rua_Felix_Araujo__48__90.jpg,34,3,11,2,4,7,0,32.5,8,4,No,centro
https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__150_90.jpg,38,5,7,0,2.5,4,0,22,11,9,No,centro
https://contribua.org/bairros/oeste/catole/Rua_Vigario_Calixto__1201_180.jpg,48,2,4,0,5,3,2,10.5,5,0,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg,43,0,12,0,3,0,7,10,3,2,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha__235_180.jpg,77,3,3,0,3.66666666666667,2,11,11.5,9,1,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_90.jpg,46,0,2,0,4,1,7,10,3,0,No,catole
https://contribua.org/bairros/norte/centro/Rua_Manoel_P._de_Araujo__370_0.jpg,27,1,3,1,1.64112903225806,1,1,13,7,11,No,centro
https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha__68__90.jpg,33,1,1,0,3,0,3,10,4,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Espirito_Santo__1288__0.jpg,25,0,1,1,3.16666666666667,0,1,10.7857142857143,7,1,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg,32,0,1,0,2,1,2,14,5,8,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Deputado_Ascendino_Moura__101__270.jpg,38,0,2,0,4,0,3,10,3,0,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Otacilio_Nepomuceno__76_90.jpg,46,0,1,0,4,1,7,12.8095238095238,4,1,No,catole
https://contribua.org/bairros/norte/centro/Rua_Quebra_Quilos__399__90.jpg,44,1,12,3,3.36885245901639,3,3,17.5,5,4,No,centro
https://contribua.org/bairros/oeste/catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_0.jpg,46,3,8,0,4,1,12,10.9411764705882,3,0,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg,30,0,0,0,3.5,1,3,15,4,1,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Luisa_Bezerra_Mota__246_270.jpg,46,1,0,0,3.5,1,6,8.75,1,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__353__90.jpg,32,0,1,0,2.91525423728814,0,0,10,8,11,No,liberdade
https://contribua.org/bairros/norte/centro/Rua_Felix_Araujo__48__270.jpg,28,1,7,1,3,4,0,16.6666666666667,3,3,No,centro
https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__90.jpg,32,1,1,1,4,0,5,10.2,7,1,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Inacio_Marques_da_Silva__434_270.jpg,38,0,1,0,4.375,0,0,10,1,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg,39,2,5,3,2.45,0,4,10,4,2,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__930__180.jpg,31,0,0,0,3,0,0,10,4,2,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg,34,0,1,0,3.25,3,4,25,4,2,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Cristina_Procopio_da_Silva__62__270.jpg,20,0,0,0,2.33333333333333,0,4,10,4,0,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Olegario_Mariano__139_270.jpg,38,0,4,0,4,0,3,12.5,5,0,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Edesio_Silva__602__180.jpg,36,1,1,0,2.08467741935484,2,6,10.7631578947368,6,1,No,liberdade
https://contribua.org/bairros/oeste/liberdade/Rua_Padre_Pedro_Serrao__207__270.jpg,32,0,1,1,3,2,3,17.5,3,5,No,liberdade
https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__270.jpg,38,0,0,0,3,0,1,17.5,5,0,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Aluisio_Cunha_Linha__50__90.jpg,27,1,1,1,3.5,1,2,9.90909090909091,3,0,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg,27,1,0,0,4,0,4,13.5,7,0,No,catole
https://contribua.org/bairros/oeste/catole/Rua_Aluisio_Cunha_Linha__50__270.jpg,26,0,0,1,3,0,0,10,3,1,No,catole
https://contribua.org/bairros/norte/centro/Rua_Joao_da_Mata__490_270.jpg,35,0,4,0,4,5,5,13.5,7,6,No,centro
https://contribua.org/bairros/norte/centro/Rua_Doutor_Severino_Cruz__411__90.jpg,40,4,0,0,4.50769230769231,1,5,0,0,0,No,centro
https://contribua.org/bairros/norte/centro/Rua_Felix_Araujo__132__270.jpg,36,2,15,0,3,3,1,20,7,4,Yes,centro
https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg,34,0,11,0,2.5,1,2,13.5,3,3,No,catole
https://contribua.org/bairros/oeste/liberdade/Rua_Acre__635_270.jpg,36,0,3,0,3.5,1,2,14,4,1,No,liberdade
https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__500_90.jpg,26,2,8,1,3.83333333333333,1,4,20,5,1,No,centro
https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__0.jpg,33,0,11,0,2.75,0,2,29,4,1,No,centro
https://contribua.org/bairros/norte/centro/Rua_Capitao_Joao_de_Sa__45__0.jpg,34,1,11,1,2.8503937007874,0,0,37.7,6,1,No,centro
https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__202_0.jpg,28,0,0,0,3,0,2,10,4,0,Yes,centro
https://contribua.org/bairros/norte/centro/Rua_Coronel_Salvino_Figueiredo__251_90.jpg,28,1,4,0,3,0,0,10.5,3,1,Yes,centro
https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__210__180.jpg,16,3,5,1,3.2,1,0,20,3,3,No,centro
https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__210__0.jpg,18,1,5,0,3,0,0,22.5,3,0,Yes,centro
https://contribua.org/bairros/norte/centro/Rua_Augusto_Severo__71_0.jpg,22,0,1,0,3,2,0,14,4,1,Yes,centro
https://contribua.org/bairros/norte/centro/Rua_Augusto_Severo__71_90.jpg,27,1,10,0,2,2,1,17.5,7,5,Yes,centro
https://contribua.org/bairros/norte/centro/Rua_Coronel_Salvino_Figueiredo__251_270.jpg,31,2,1,0,3.44347826086957,0,5,122.5,4,1,No,centro
https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_270.jpg,29,4,6,0,4.5,0,5,18.5,4,1,No,centro
https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__119_90.jpg,36,6,1,0,2.85714285714286,2,4,75.6,5,0,No,centro
https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__180.jpg,37,0,9,0,3,0,1,29.0714285714286,6,1,Yes,centro
https://contribua.org/bairros/norte/centro/Rua_Capitao_Joao_de_Sa__45__180.jpg,35,1,3,0,3,1,0,25,4,0,No,centro
https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__500_270.jpg,30,2,5,0,3.66666666666667,0,2,35,6,0,No,centro
https://contribua.org/bairros/norte/centro/Avenida_Presidente_Joao_Pessoa__128__180.jpg,16,2,0,1,3,5,1,11.6666666666667,6,8,No,centro
https://contribua.org/bairros/norte/centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg,27,1,2,0,4.25,3,1,47,6,5,No,centro
https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__119_270.jpg,38,9,4,0,3.66666666666667,3,4,30,4,3,No,centro
https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__271__90.jpg,39,2,6,0,4,4,1,10,5,2,No,centro
https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__395__90.jpg,40,2,11,0,3.75,1,4,20.5,5,1,Yes,centro
https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__202_180.jpg,33,0,1,0,2.625,0,3,15,5,2,Yes,centro
https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__395__270.jpg,34,2,7,1,3,1,2,12.5,5,0,No,centro
https://contribua.org/bairros/norte/centro/Avenida_Presidente_Getulio_Vargas__271__270.jpg,36,2,15,1,3.5,2,2,15,6,3,No,centro
https://contribua.org/bairros/norte/centro/Avenida_Barao_Rio_Branco__141_90.jpg,37,0,12,0,3.71428571428571,1,4,10,5,1,No,centro
https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__455__180.jpg,31,0,0,0,3,0,3,14.25,5,0,No,liberdade
