question,url_a,url_c
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_102.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_622.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_442.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3162.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3882.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_8242.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1222.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_242.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1782.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1742.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_342.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_302.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1242.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_5222.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_802.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1162.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1522.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3842.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1002.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_7342.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1182.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1142.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1682.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_2242.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1922.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_622.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6282.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1622.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_2142.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4942.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1222.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1382.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1202.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3822.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1182.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1022.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1462.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_662.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1922.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_562.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1322.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_302.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3282.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1702.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_402.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1502.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_762.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1462.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_62.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1642.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4442.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1962.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1902.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1102.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_362.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_682.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1282.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_342.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1382.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_5682.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_2222.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3942.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1162.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_722.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_142.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_842.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_5042.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1862.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1562.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_7362.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_2642.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1922.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_642.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_5442.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6082.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1362.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6982.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_862.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1702.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_7022.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1222.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1962.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4022.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1322.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_2962.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_262.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_522.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1622.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_7402.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1062.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_962.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_662.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1122.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_182.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_2042.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_502.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1162.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3682.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1662.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_922.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_202.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_2302.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1042.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_2042.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_8082.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_7362.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1922.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1842.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1782.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1962.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_162.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4842.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_8062.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_5922.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1642.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1402.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_2182.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_782.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_622.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1382.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1882.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_422.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_302.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4642.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1682.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_202.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_222.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1262.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6102.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1642.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1022.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1722.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_7602.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4962.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_922.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_322.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1582.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_142.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1562.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_402.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4382.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1302.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1322.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_262.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1902.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6522.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_902.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1742.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1842.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_7682.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_2.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_7722.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_482.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_8722.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4242.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_662.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1002.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1782.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_2162.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_2222.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6342.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1942.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6722.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_922.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1402.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6282.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_862.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1902.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1022.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_542.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_962.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1402.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1342.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1682.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_602.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_5162.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_2502.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_8422.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_302.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1982.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6402.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_862.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1282.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_502.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_142.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1282.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_7482.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_8482.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_7082.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1422.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_442.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_842.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1382.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1402.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1442.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1382.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1022.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_8802.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1162.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4562.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_7782.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1522.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1602.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_102.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1002.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1442.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_242.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_342.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1322.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3202.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_642.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_2702.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_742.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_162.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_442.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1922.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1542.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_3962.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_842.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_722.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1842.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6322.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_1662.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_342.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_2082.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_2182.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_682.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1122.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_682.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1722.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_82.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1422.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_6902.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4842.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_2522.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_4982.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_102.jpg,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1202.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/floriano/floriano_8762.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_8442.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_1702.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_2.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_482.jpg,http://socientize.lsd.ufcg.edu.br/floriano/floriano_8782.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/almirante/almirante_422.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_1022.jpg
Qual local lhe parece mais...?,http://socientize.lsd.ufcg.edu.br/rodrigues/rodrigues_982.jpg,http://socientize.lsd.ufcg.edu.br/almirante/almirante_702.jpg
